experiment,participant,item,condition,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
suborn,1067,1,1,1,SAID,3,0.300,0,0.300,0.97,167.316,188.76,0,158.91,0.243,187.593,--undefined--,164.552,159.680,68.997,77.945
suborn,1067,1,1,2,MARION,6,0.980,0.060,1.040,1.27,196.151,254.32,0.409,90.67,0.623,177.788,245.536,187.283,168.302,67.357,78.003
suborn,1067,1,1,3,OR,2,0.160,0,0.160,2.31,186.885,197.88,0.104,176.07,0.053,--undefined--,181.739,192.962,184.957,64.180,76.171
suborn,1067,1,1,4,MARVIN,6,0.410,0,0.410,2.47,208.995,267.88,0.410,165.83,0.099,174.565,175.187,224.789,261.439,68.773,79.751
suborn,1067,1,1,5,AND,3,0.150,0,0.150,2.88,263.483,274.98,0.028,241.53,0.133,272.705,270.991,259.020,245.251,65.052,70.530
suborn,1067,1,1,6,SARAH,4,0.450,0,0.450,3.03,171.058,224.09,0.169,83.48,0.444,212.127,215.996,161.523,122.963,73.659,79.831
suborn,1067,1,1,7,ARRIVED,4,0.190,0,0.190,3.48,79.159,89.26,0.003,75.48,0.118,88.993,--undefined--,76.624,--undefined--,62.783,71.989
suborn,1067,1,1,8,THAT,3,0.120,0,0.120,4.82,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,66.032,76.416
suborn,1067,1,1,9,MARION,6,0.550,0.300,0.850,4.94,189.815,208.03,0.234,168.23,0.083,179.212,201.761,190.470,178.276,68.794,81.008
suborn,1067,1,1,10,OR,1,0.090,0,0.090,5.79,95.681,165.10,0.090,85.26,0.063,--undefined--,--undefined--,87.840,157.680,59.681,65.766
suborn,1067,1,1,11,MARVIN,6,0.350,0,0.350,5.88,172.080,183.63,0.214,158.82,0.350,170.857,172.721,177.461,167.282,66.840,79.752
suborn,1067,1,1,12,AND,3,0.170,0,0.170,6.23,148.473,158.82,0,142.85,0.069,150.328,143.769,146.590,153.204,60.768,68.482
suborn,1067,1,1,13,NOLAN,5,0.370,0,0.370,6.4,214.348,313.15,0.207,148.87,0.363,159.205,245.575,283.739,167.731,66.381,71.772
suborn,1067,1,1,14,ARRIVED,4,0.360,0.200,0.560,6.77,89.196,96.54,0.118,83.07,0.103,--undefined--,89.196,--undefined--,--undefined--,58.329,72.446
suborn,1067,1,2,1,SAID,3,0.260,0,0.260,0.84,179.636,193.36,0.111,172.45,0.181,188.641,186.717,174.008,--undefined--,64.575,75.845
suborn,1067,1,2,2,MARION,6,0.580,0.070,0.650,1.1,187.250,236.91,0.173,156.31,0.380,198.616,222.100,160.268,169.078,67.959,78.788
suborn,1067,1,2,3,OR,2,0.120,0,0.120,1.75,194.771,195.61,0.089,193.34,0.061,--undefined--,193.342,194.799,194.948,60.782,67.488
suborn,1067,1,2,4,SARAH,4,0.710,0,0.710,1.87,201.871,252.95,0.710,173.36,0.488,190.823,215.789,191.242,200.916,67.915,76.741
suborn,1067,1,2,5,AND,3,0.250,0.250,0.500,2.58,202.287,259.23,0.023,142.52,0.211,254.673,211.628,165.561,146.858,64.517,70.186
suborn,1067,1,2,6,NOLAN,5,0.570,0,0.570,3.08,193.420,250.38,0.423,152.03,0.570,176.537,167.466,210.412,201.102,62.642,71.784
suborn,1067,1,2,7,ARRIVED,4,0.450,0.030,0.480,3.65,136.475,161.43,0.097,88.97,0.331,151.158,149.215,90.143,91.325,62.584,73.617
suborn,1067,1,2,8,THAT,3,0.180,0,0.180,4.98,149.025,156.73,0.061,142.28,0.101,--undefined--,151.546,143.515,--undefined--,63.790,78.393
suborn,1067,1,2,9,MARION,6,0.580,0.350,0.930,5.16,187.786,251.37,0.283,145.65,0.455,175.846,227.978,191.942,147.696,66.138,76.744
suborn,1067,1,2,10,OR,2,0.150,0,0.150,6.09,179.275,181.47,0.095,176.18,0.150,--undefined--,--undefined--,180.333,178.236,62.026,69.806
suborn,1067,1,2,11,MARVIN,6,0.410,0,0.410,6.24,230.699,335.92,0.341,169.27,0.096,173.125,178.455,261.716,309.501,69.616,82.210
suborn,1067,1,2,12,AND,3,0.130,0,0.130,6.65,190.301,247.75,0,157.83,0.130,230.027,196.383,173.939,160.854,65.382,71.182
suborn,1067,1,2,13,NOLAN,5,0.400,0,0.400,6.78,153.825,162.34,0.163,142.27,0.307,158.828,160.119,148.652,145.732,63.229,69.518
suborn,1067,1,2,14,ARRIVED,4,0.480,0.120,0.600,7.18,94.689,96.32,0.111,91.82,0.031,94.689,--undefined--,--undefined--,--undefined--,58.735,69.099
suborn,1067,1,3,1,SAID,3,0.280,0,0.280,0.81,202.764,287.51,0,161.37,0.224,269.542,206.070,185.342,164.282,64.471,74.034
suborn,1067,1,3,2,SARAH,4,0.680,0.130,0.810,1.09,199.104,265.52,0.315,146.67,0.565,--undefined--,251.862,178.611,148.504,68.252,76.299
suborn,1067,1,3,3,OR,2,0.120,0,0.120,1.9,184.392,192.85,0.064,177.83,0.120,--undefined--,192.846,188.856,179.769,58.327,67.044
suborn,1067,1,3,4,MARVIN,6,0.370,0,0.370,2.02,175.270,181.93,0.029,158.16,0.338,179.539,179.214,173.188,167.506,65.062,77.712
suborn,1067,1,3,5,AND,3,0.130,0,0.130,2.39,157.863,163.96,0,154.08,0.081,160.536,156.762,155.807,158.346,63.274,69.096
suborn,1067,1,3,6,NOLAN,5,0.300,0,0.300,2.52,180.146,207.55,0.148,149.28,0.294,169.141,196.007,196.687,158.587,65.450,71.386
suborn,1067,1,3,7,ARRIVED,4,0.390,0.140,0.530,2.82,100.107,139.17,0.054,83.72,0.163,138.953,84.568,--undefined--,--undefined--,57.092,71.639
suborn,1067,1,3,8,THAT,3,0.180,0,0.180,4.23,152.178,158.33,0.054,146.93,0.104,--undefined--,154.378,147.585,--undefined--,61.771,76.068
suborn,1067,1,3,9,MARION,6,0.690,0.110,0.800,4.41,185.733,329.94,0.339,71.84,0.090,123.488,264.857,201.751,146.129,66.016,74.891
suborn,1067,1,3,10,OR,2,0.110,0,0.110,5.21,137.198,179.73,0.069,84.88,0.048,--undefined--,86.967,155.651,165.444,58.139,63.086
suborn,1067,1,3,11,MARVIN,6,0.420,0,0.420,5.32,175.356,196.73,0.288,158.53,0.106,162.178,167.978,190.384,180.883,63.155,75.561
suborn,1067,1,3,12,AND,3,0.120,0,0.120,5.74,153.375,170.55,0,143.07,0.065,161.728,151.437,147.722,152.612,58.118,62.080
suborn,1067,1,3,13,NOLAN,5,0.390,0,0.390,5.86,187.798,250.04,0.224,80.03,0.359,157.130,200.448,239.418,145.211,60.966,68.201
suborn,1067,1,3,14,ARRIVED,4,0.280,0,0.280,6.25,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,56.425,70.931
suborn,1067,1,4,1,SAID,3,0.220,0,0.220,0.84,166.369,182.34,0,156.17,0.162,178.402,--undefined--,162.482,156.174,64.654,73.647
suborn,1067,1,4,2,SARAH,4,0.370,0,0.370,1.06,154.905,192.34,0.132,119.66,0.337,--undefined--,183.360,159.147,132.948,70.818,79.150
suborn,1067,1,4,7,ARRIVED,4,0.320,0.170,0.490,1.43,117.877,137.37,0.002,103.48,0.272,137.300,--undefined--,--undefined--,103.476,62.451,77.268
suborn,1067,1,4,8,THAT,3,0.090,0,0.090,2.97,154.605,162.73,0.090,146.85,0.028,148.509,149.918,158.477,161.514,57.875,59.882
suborn,1067,1,4,9,MARION,6,0.470,0.080,0.550,3.06,180.354,191.84,0.179,162.73,0,172.597,186.393,182.235,180.005,69.740,78.384
suborn,1067,1,4,10,OR,2,0.160,0,0.160,3.61,194.298,197.68,0.160,192.58,0.072,--undefined--,192.704,193.224,195.872,65.967,71.725
suborn,1067,1,4,11,MARVIN,6,0.370,0,0.370,3.77,196.029,206.85,0.251,170.99,0.370,200.122,196.793,200.389,186.813,68.436,81.106
suborn,1067,1,4,12,AND,3,0.150,0,0.150,4.14,159.929,170.99,0,154.67,0.150,165.227,158.728,159.147,156.614,64.712,72.527
suborn,1067,1,4,13,NOLAN,5,0.300,0,0.300,4.29,174.034,193.21,0.158,144.67,0.300,162.430,186.123,186.799,160.785,65.251,71.620
suborn,1067,1,4,14,ARRIVED,4,0.400,0.120,0.520,4.59,107.978,144.67,0,79.02,0.197,131.881,82.363,80.044,--undefined--,59.093,69.172
suborn,1067,2,1,1,SAID,3,0.280,0,0.280,1.04,176.522,191.82,0,169.44,0.192,185.235,177.795,171.903,--undefined--,64.910,77.294
suborn,1067,2,1,2,MARION,6,0.310,0,0.310,1.32,201.093,221.77,0.208,171.20,0.065,175.550,189.760,219.248,211.064,69.353,75.006
suborn,1067,2,1,3,OR,1,0.090,0,0.090,1.63,165.416,189.71,0,153.54,0.090,178.983,167.941,159.562,155.176,66.979,69.648
suborn,1067,2,1,4,MARVIN,6,0.450,0,0.450,1.72,175.191,214.51,0.201,149.21,0.450,164.457,203.513,179.171,154.330,66.222,79.008
suborn,1067,2,1,5,AND,3,0.170,0,0.170,2.17,161.392,172.90,0.121,148.51,0.002,148.590,--undefined--,164.159,160.639,60.721,69.139
suborn,1067,2,1,6,SARAH,4,0.260,0,0.260,2.34,248.387,270.01,0.190,218.48,0.107,--undefined--,221.748,256.545,257.067,69.983,78.846
suborn,1067,2,1,7,ARRIVED,4,0.450,0.480,0.930,2.6,137.760,174.10,0.022,78.08,0.252,151.882,133.259,82.181,--undefined--,65.151,76.014
suborn,1067,2,1,8,THAT,3,0.160,0,0.160,4.43,158.445,166.91,0.072,149.46,0.122,--undefined--,165.915,157.389,149.557,64.696,78.592
suborn,1067,2,1,9,MARION,6,0.370,0,0.370,4.59,181.793,200.94,0.181,88.00,0.042,131.468,191.847,196.491,187.479,67.247,74.732
suborn,1067,2,1,10,OR,1,0.060,0,0.060,4.96,170.647,175.62,0,167.26,0.060,173.878,171.631,169.229,167.849,66.921,67.980
suborn,1067,2,1,11,MARVIN,6,0.460,0,0.460,5.02,174.695,181.26,0.237,164.06,0.271,172.956,177.686,174.496,172.729,65.552,77.517
suborn,1067,2,1,12,AND,3,0.170,0,0.170,5.48,167.013,168.64,0.131,163.34,0.170,--undefined--,--undefined--,167.000,167.022,61.927,69.264
suborn,1067,2,1,13,NOLAN,5,0.400,0,0.400,5.65,209.452,363.93,0.316,157.54,0.236,160.432,217.967,223.690,255.902,64.307,71.320
