experiment,participant,item,condition,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
suborq,1067,1,1,1,SAID,3,0.250,0,0.250,0.9,198.517,253.84,0,175.46,0.205,235.493,--undefined--,186.034,175.840,68.818,76.171
suborq,1067,1,1,2,MARION,6,0.540,0.060,0.600,1.15,224.463,248.32,0.234,177.75,0.046,184.899,236.753,243.814,236.069,67.837,77.613
suborq,1067,1,1,3,OR,2,0.140,0,0.140,1.75,176.986,181.66,0.055,168.41,0.140,--undefined--,181.340,179.517,171.938,63.944,68.419
suborq,1067,1,1,4,MARVIN,6,0.360,0,0.360,1.89,197.202,242.71,0.235,162.83,0.090,167.769,190.749,232.788,197.504,67.600,80.108
suborq,1067,1,1,5,AND,3,0.140,0,0.140,2.25,158.157,174.18,0,151.27,0.052,164.581,154.019,156.452,153.888,58.468,64.397
suborq,1067,1,1,6,SARAH,4,0.250,0,0.250,2.39,261.793,364.93,0.140,158.50,0.200,259.592,281.451,244.828,258.688,72.224,76.736
suborq,1067,1,1,7,ARRIVED,4,0.360,0,0.360,2.64,87.594,95.44,0.178,74.18,0.070,80.788,91.341,95.031,--undefined--,64.296,71.656
suborq,1067,1,1,8,THAT,3,0.220,0,0.220,4,178.846,222.17,0,92.48,0.220,219.641,178.886,159.017,92.482,66.258,78.450
suborq,1067,1,1,9,MARION,6,0.530,0.110,0.640,4.22,194.665,214.97,0.485,79.15,0.030,159.669,207.735,207.430,207.821,67.186,75.428
suborq,1067,1,1,10,OR,2,0.110,0,0.110,4.86,175.014,181.05,0.055,166.62,0.110,--undefined--,181.046,177.745,171.137,61.198,65.992
suborq,1067,1,1,11,MARVIN,6,0.400,0,0.400,4.97,176.330,194.46,0.280,162.94,0.012,165.488,168.950,185.647,185.235,65.281,78.296
suborq,1067,1,1,12,AND,3,0.120,0,0.120,5.37,159.848,173.88,0,152.62,0.061,168.340,157.096,156.449,157.508,60.760,65.281
suborq,1067,1,1,13,NOLAN,5,0.390,0,0.390,5.49,182.854,278.55,0.390,152.43,0.096,157.952,156.480,174.654,242.332,63.266,68.710
suborq,1067,1,1,14,ARRIVED,4,0.430,0.050,0.480,5.88,261.018,368.18,0.160,156.58,0.180,301.091,272.372,202.685,--undefined--,64.169,76.153
suborq,1067,1,2,1,SAID,3,0.490,0,0.490,0.88,203.788,252.34,0.132,187.77,0.359,226.188,212.077,191.747,192.434,68.844,83.281
suborq,1067,1,2,2,MARION,6,0.670,0,0.670,1.37,227.225,273.27,0.440,176.16,0.133,179.601,234.617,269.883,183.162,65.977,78.278
suborq,1067,1,2,3,OR,1,0.040,0,0.040,2.04,181.315,183.87,0,179.49,0.040,182.915,181.155,180.841,180.348,65.293,66.184
suborq,1067,1,2,4,SARAH,4,0.340,0,0.340,2.08,219.670,239.72,0.283,175.97,0.022,177.237,212.833,218.818,234.231,74.208,82.068
suborq,1067,1,2,5,AND,3,0.090,0,0.090,2.42,203.060,220.44,0,189.75,0.090,214.287,205.830,199.936,192.186,68.024,77.570
suborq,1067,1,2,6,NOLAN,5,0.270,0,0.270,2.51,249.087,313.64,0.168,185.13,0.270,193.970,255.391,307.366,239.621,68.977,73.518
suborq,1067,1,2,7,ARRIVED,4,0.350,0.290,0.640,2.78,146.664,185.13,0,94.89,0.252,158.642,146.446,94.910,--undefined--,66.092,74.937
suborq,1067,1,2,8,THAT,3,0.340,0,0.340,4.11,173.620,203.53,0,158.80,0.192,190.047,170.614,161.774,--undefined--,60.315,78.364
suborq,1067,1,2,9,MARION,6,0.550,0,0.550,4.45,179.555,198.43,0.314,85.25,0.072,124.708,181.052,196.607,189.138,66.659,77.048
suborq,1067,1,2,10,OR,1,0.080,0,0.080,5,162.414,176.48,0,154.33,0.073,172.066,164.416,158.228,154.948,65.558,68.176
suborq,1067,1,2,11,MARVIN,6,0.410,0,0.410,5.08,199.937,266.81,0.402,155.10,0,161.586,175.856,220.453,261.725,66.105,79.112
suborq,1067,1,2,12,AND,3,0.280,0,0.280,5.49,267.782,291.94,0.202,257.23,0.160,266.196,266.418,270.866,--undefined--,62.854,70.766
suborq,1067,1,2,13,NOLAN,5,0.340,0,0.340,5.77,192.236,255.30,0.340,168.55,0.156,177.487,172.275,184.714,231.524,66.855,72.264
suborq,1067,1,2,14,ARRIVED,4,0.400,0.080,0.480,6.11,257.849,368.53,0.177,158.22,0.197,270.205,302.478,192.327,--undefined--,64.138,75.959
suborq,1067,1,3,1,SAID,3,0.230,0,0.230,0.92,225.014,303.85,0,178.02,0.162,292.367,--undefined--,188.680,--undefined--,62.787,73.443
suborq,1067,1,3,2,SARAH,4,0.630,0,0.630,1.15,185.366,223.71,0.175,151.51,0.442,220.600,201.750,155.625,181.746,67.596,78.034
suborq,1067,1,3,3,OR,1,0.100,0,0.100,1.78,180.673,185.04,0.035,173.23,0.100,183.664,184.474,179.887,174.666,67.161,68.646
suborq,1067,1,3,4,MARVIN,6,0.450,0,0.450,1.88,201.972,254.04,0.387,163.06,0.136,172.517,175.702,213.356,246.311,66.565,75.758
suborq,1067,1,3,5,AND,3,0.130,0,0.130,2.33,181.640,219.91,0,166.80,0.130,204.777,181.988,171.855,167.942,62.224,67.925
suborq,1067,1,3,6,NOLAN,5,0.380,0,0.380,2.46,195.427,245.74,0.234,147.78,0.372,168.870,200.251,238.401,173.488,66.107,71.427
suborq,1067,1,3,7,ARRIVED,4,0.380,0,0.380,2.84,138.957,139.73,0.092,138.64,0.052,138.950,138.986,--undefined--,--undefined--,64.339,75.051
suborq,1067,1,3,8,THAT,3,0.140,0,0.140,4.12,248.834,252.32,0,246.90,0.012,248.834,--undefined--,--undefined--,--undefined--,66.767,73.355
suborq,1067,1,3,9,MARION,6,0.730,0.260,0.990,4.26,167.922,235.93,0.297,73.36,0.067,134.085,214.805,162.476,152.444,63.876,75.742
suborq,1067,1,3,10,OR,2,0.120,0,0.120,5.25,160.425,166.93,0.052,153.97,0.120,--undefined--,166.013,161.341,157.083,58.000,64.521
suborq,1067,1,3,11,MARVIN,6,0.420,0,0.420,5.37,184.819,219.52,0.349,151.29,0.011,156.917,170.263,205.418,206.678,66.130,77.726
suborq,1067,1,3,12,AND,3,0.130,0,0.130,5.79,161.635,183.57,0,155.26,0.069,171.612,159.598,158.446,156.884,60.688,65.529
suborq,1067,1,3,13,NOLAN,5,0.310,0,0.310,5.92,175.926,241.53,0.310,147.25,0.101,155.987,149.666,174.090,223.961,61.768,66.328
