experiment	item	condition	bracketing	order	text	participant	playlist	order	trialN	recordedFile	
suborq	2	1	4	l	I thought they said Sarah arrived. But you say that Marion or Marvin, and Nolan arrived?	1229	1	1	1	suborq_1229_2_4.wav	
suborq	5	3	1	r	She read in the minutes that Marion, or Benjamin and Jeremy have to go. But it actually says that Marion, or Benjamin and Lillian have to go?	1229	1	2	2	suborq_1229_5_1.wav	
suborq	4	2	2	l	You said that Megan and Dillon, or Morgan would help.  But now it turns out that Megan and Lauren, or Morgan would help?	1229	1	3	3	suborq_1229_4_2.wav	
suborq	3	2	3	r	You said that Dillon, and Lauren or Morgan would help. But now it turns out that Megan, and Lauren or Morgan would help?	1229	1	4	4	suborq_1229_3_3.wav	
suborq	1	1	1	r	I thought they said Marion, or Marvin and Sarah arrived. But you say that Marion, or Marvin and Nolan arrived?	1229	1	5	5	suborq_1229_1_1.wav	
suborq	7	4	3	r	He said that Sally, and Logan or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated?	1229	1	6	6	suborq_1229_7_3.wav	
suborq	8	4	2	l	He said that Marjorie and Sally, or Molly were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated?	1229	1	7	7	suborq_1229_8_2.wav	
suborq	6	3	4	l	She read in the minutes that Jeremy has to go. But it actually says that Marion or Benjamin, and Lillian have to go?	1229	1	8	8	suborq_1229_6_4.wav	
suborq	4	2	1	l	You said that Dillon and Lauren, or Morgan would help. But now it turns out that Megan and Lauren, or Morgan would help?	1229	1	9	9	suborq_1229_4_1.wav	
suborq	1	1	4	r	I thought they said Sarah arrived. But you say that Marion, or Marvin and Nolan arrived?	1229	1	10	10	suborq_1229_1_4.wav	
suborq	7	4	2	r	He said that Marjorie, and Sally or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated?	1229	1	11	11	suborq_1229_7_2.wav	
suborq	2	1	3	l	I thought they said Sarah or Marvin, and Nolan arrived. But you say that Marion or Marvin, and Nolan arrived?	1229	1	12	12	suborq_1229_2_3.wav	
suborq	6	3	3	l	She read in the minutes that Jeremy or Benjamin, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go?	1229	1	13	13	suborq_1229_6_3.wav	
suborq	8	4	1	l	He said that Marjorie and Logan, or Sally were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated?	1229	1	14	14	suborq_1229_8_1.wav	
suborq	3	2	2	r	You said that Megan, and Dillon or Morgan would help. But now it turns out that Megan, and Lauren or Morgan would help?	1229	1	15	15	suborq_1229_3_2.wav	
suborq	5	3	4	r	She read in the minutes that Jeremy has to go. But it actually says that Marion, or Benjamin and Lillian have to go?	1229	1	16	16	suborq_1229_5_4.wav	
suborq	7	4	4	r	He said that Sally was nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated?	1229	1	17	17	suborq_1229_7_4.wav	
suborq	4	2	3	l	You said that Megan and Lauren, or Dillon would help. But now it turns out that Morgan and Lauren, or Morgan would help?	1229	1	18	18	suborq_1229_4_3.wav	
suborq	1	1	2	r	I thought they said Marion, or Sarah and Nolan arrived. But you say that Marion, or Marvin and Nolan arrived?	1229	1	19	19	suborq_1229_1_2.wav	
suborq	2	1	1	l	I thought they said Marion or Marvin, and Sarah arrived. But you say that Marion or Marvin, and Nolan arrived?	1229	1	20	20	suborq_1229_2_1.wav	
suborq	5	3	2	r	She read in the minutes that Marion, or Jeremy and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go?	1229	1	21	21	suborq_1229_5_2.wav	
suborq	8	4	3	l	He said that Sally and Logan, or Molly were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated?	1229	1	22	22	suborq_1229_8_3.wav	
suborq	3	2	4	r	You said that Dillon would help. But now it turns out that Megan, and Lauren or Morgan would help?	1229	1	23	23	suborq_1229_3_4.wav	
suborq	6	3	1	l	She read in the minutes that Marion or Benjamin, and Jeremy have to go. But it actually says that Marion or Benjamin, and Lillian have to go?	1229	1	24	24	suborq_1229_6_1.wav	
suborq	2	1	2	l	I thought they said Marion or Sarah, and Nolan arrived. But you say that Marion or Marvin, and Nolan arrived?	1229	1	25	25	suborq_1229_2_2.wav	
suborq	7	4	1	r	He said that Marjorie, and Logan or Sally were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated?	1229	1	26	26	suborq_1229_7_1.wav	
suborq	1	1	3	r	I thought they said Sarah, or Marvin and Nolan arrived. But you say that Marion, or Marvin and Nolan arrived?	1229	1	27	27	suborq_1229_1_3.wav	
suborq	4	2	4	l	You said that Dillon would help. But now it turns out that Megan and Lauren, or Morgan would help?	1229	1	28	28	suborq_1229_4_4.wav	
suborq	6	3	2	l	She read in the minutes that Marion or Jeremy, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go?	1229	1	29	29	suborq_1229_6_2.wav	
suborq	5	3	3	r	She read in the minutes that Jeremy, or Benjamin and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go?	1229	1	30	30	suborq_1229_5_3.wav	
suborq	8	4	4	l	He said that Sally was nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated?	1229	1	31	31	suborq_1229_8_4.wav	
suborq	3	2	1	r	You said that Megan, and Lauren or Dillon would help. But now it turns out that Megan, and Lauren or Morgan would help?	1229	1	32	32	suborq_1229_3_1.wav	
suborq	5	3	3	r	She read in the minutes that Jeremy, or Benjamin and Lillian have to go. But it actually says that Marion, or Benjamin and Lillian have to go?	933	1	1	1	suborq_933_5_3.wav	
suborq	4	2	4	l	You said that Dillon would help. But now it turns out that Megan and Lauren, or Morgan would help?	933	1	2	2	suborq_933_4_4.wav	
suborq	3	2	1	r	You said that Megan, and Lauren or Dillon would help. But now it turns out that Megan, and Lauren or Morgan would help?	933	1	3	3	suborq_933_3_1.wav	
suborq	2	1	2	l	I thought they said Marion or Sarah, and Nolan arrived. But you say that Marion or Marvin, and Nolan arrived?	933	1	4	4	suborq_933_2_2.wav	
suborq	7	4	1	r	He said that Marjorie, and Logan or Sally were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated?	933	1	5	5	suborq_933_7_1.wav	
suborq	8	4	4	l	He said that Sally was nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated?	933	1	6	6	suborq_933_8_4.wav	
suborq	1	1	3	r	I thought they said Sarah, or Marvin and Nolan arrived. But you say that Marion, or Marvin and Nolan arrived?	933	1	7	7	suborq_933_1_3.wav	
suborq	6	3	2	l	She read in the minutes that Marion or Jeremy, and Lillian have to go. But it actually says that Marion or Benjamin, and Lillian have to go?	933	1	8	8	suborq_933_6_2.wav	
suborq	2	1	4	l	I thought they said Sarah arrived. But you say that Marion or Marvin, and Nolan arrived?	933	1	9	9	suborq_933_2_4.wav	
suborq	1	1	1	r	I thought they said Marion, or Marvin and Sarah arrived. But you say that Marion, or Marvin and Nolan arrived?	933	1	10	10	suborq_933_1_1.wav	
suborq	7	4	3	r	He said that Sally, and Logan or Molly were nominated for the prize. But the newspaper says that Marjorie, and Logan or Molly were nominated?	933	1	11	11	suborq_933_7_3.wav	
suborq	4	2	2	l	You said that Megan and Dillon, or Morgan would help.  But now it turns out that Megan and Lauren, or Morgan would help?	933	1	12	12	suborq_933_4_2.wav	
suborq	6	3	4	l	She read in the minutes that Jeremy has to go. But it actually says that Marion or Benjamin, and Lillian have to go?	933	1	13	13	suborq_933_6_4.wav	
suborq	8	4	2	l	He said that Marjorie and Sally, or Molly were nominated for the prize. But the newspaper says that  Marjorie and Logan, or Molly were nominated?	933	1	14	14	suborq_933_8_2.wav	
suborq	3	2	3	r	You said that Dillon, and Lauren or Morgan would help. But now it turns out that Megan, and Lauren or Morgan would help?	933	1	15	15	suborq_933_3_3.wav	
suborq	5	3	1	r	She read in the minutes that Marion, or Benjamin and Jeremy have to go. But it actually says that Marion, or Benjamin and Lillian have to go?	933	1	16	16	suborq_933_5_1.wav	
