experiment	item	item_original	condition	bracketing	text	woi
suborq	1	1	1	r	I thought they said Marion, or Marvin and Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	I THOUGHT THEY SAID_1 MARION_2 OR_3 MARVIN_4 AND_5 SARAH_6 ARRIVED_7 BUT YOU SAY THAT_8 MARION_9 OR_10 MARVIN_11 AND_12 NOLAN_13 ARRIVED_14
suborq	1	1	2	r	I thought they said Marion, or Sarah and Nolan arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	I THOUGHT THEY SAID_1 MARION_2 OR_3 SARAH_4 AND_5 NOLAN_6 ARRIVED_7 BUT YOU SAY THAT_8 MARION_9 OR_10 MARVIN_11 AND_12 NOLAN_13 ARRIVED_14
suborq	1	1	3	r	I thought they said Sarah, or Marvin and Nolan arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	I THOUGHT THEY SAID_1 SARAH_2 OR_3 MARVIN_4 AND_5 NOLAN_6 ARRIVED_7 BUT YOU SAY THAT_8 MARION_9 OR_10 MARVIN_11 AND_12 NOLAN_13 ARRIVED_14
suborq	1	1	4	r	I thought they said Sarah arrived. But in fact they said that Marion, or Marvin and Nolan arrived.	I THOUGHT THEY SAID_1 SARAH_2 ARRIVED_7 BUT YOU SAY THAT_8 MARION_9 OR_10 MARVIN_11 AND_12 NOLAN_13 ARRIVED_14
suborq	2	1	1	l	I thought they said Marion or Marvin, and Sarah arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	I THOUGHT THEY SAID_1 MARION_2 OR_3 MARVIN_4 AND_5 SARAH_6 ARRIVED_7 BUT YOU SAY THAT_8 MARION_9 OR_10 MARVIN_11 AND_12 NOLAN_13 ARRIVED_14
suborq	2	1	2	l	I thought they said Marion or Sarah, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	I THOUGHT THEY SAID_1 MARION_2 OR_3 SARAH_4 AND_5 NOLAN_6 ARRIVED_7 BUT YOU SAY THAT_8 MARION_9 OR_10 MARVIN_11 AND_12 NOLAN_13 ARRIVED_14
suborq	2	1	3	l	I thought they said Sarah or Marvin, and Nolan arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	I THOUGHT THEY SAID_1 SARAH_2 OR_3 MARVIN_4 AND_5 NOLAN_6 ARRIVED_7 BUT YOU SAY THAT_8 MARION_9 OR_10 MARVIN_11 AND_12 NOLAN_13 ARRIVED_14
suborq	2	1	4	l	I thought they said Sarah arrived. But in fact they said that Marion or Marvin, and Nolan arrived.	I THOUGHT THEY SAID_1 SARAH_2 ARRIVED_7 BUT YOU SAY THAT_8 MARION_9 OR_10 MARVIN_11 AND_12 NOLAN_13 ARRIVED_14
suborq	3	2	1	r	You said that Megan, and Lauren or Dillon would help. But in fact we were told that Megan, and Lauren or Morgan would help.	YOU SAID THAT_1 MEGAN_2 AND_3 LAUREN_4 OR_5 DILLON_6 WOULD_7 HELP BUT NOW IT TURNS OUT THAT_8 MEGAN_9 AND_10 LAUREN_11 OR_12 MORGAN_13 WOULD HELP_14
suborq	3	2	2	r	You said that Megan, and Dillon or Morgan would help. But in fact we were told that Megan, and Lauren or Morgan would help.	YOU SAID THAT_1 MEGAN_2 AND_3 DILLON_4 OR_5 MORGAN_6 WOULD_7 HELP BUT NOW IT TURNS OUT THAT_8 MEGAN_9 AND_10 LAUREN_11 OR_12 MORGAN_13 WOULD HELP_14
